Arrival_Rate_Config,TTL_Mean_Config,Final_Acceptance_Rate,Max_Concurrent_VNRs,Total_Broken_VNRs,Arrival_Mean_Config,Arrival_Mean_Actual,TTL_Mean_Actual
4/100,100,0.872,10,64,25.0,23.584830339321357,102.75348025566345
4/100,200,0.804,14,121,25.0,23.584830339321357,205.50019567723055
4/100,300,0.716,16,151,25.0,23.584830339321357,308.248779182738
4/100,400,0.67,19,180,25.0,23.584830339321357,410.99737224365066
4/100,500,0.607,22,218,25.0,23.584830339321357,513.7459653045634
4/100,600,0.562,23,224,25.0,23.584830339321357,616.4945583654761
4/100,700,0.554,25,236,25.0,23.584830339321357,719.2431514263886
4/100,800,0.505,26,258,25.0,23.584830339321357,821.9917444873013
4/100,900,0.463,28,233,25.0,23.584830339321357,924.740356452364
